Item Code,Description,Cost
FG Costs 2022,,
4800088270250,VIRGINIA Chicken Hotdog 250g,19.257241
4800088270403,VIRGINIA Chorizo de Cebu 250g,45.048382
,,
,,
,,
FG Costs 2024,,
January 2024,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.750959
4800088210867,VIRGINIA Sweet Ham 250g,66.98888
4800088270250,VIRGINIA Chicken Hotdog 250g,19.194684
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.698078
,,
February 2024,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.818068
4800088210867,VIRGINIA Sweet Ham 250g,67.147435
4800088270250,VIRGINIA Chicken Hotdog 250g,19.245246
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.758035
,,
March 2024,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.860152
4800088210867,VIRGINIA Sweet Ham 250g,67.241518
4800088270250,VIRGINIA Chicken Hotdog 250g,19.277126
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.809731
,,
April 2024,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.908633
4800088210867,VIRGINIA Sweet Ham 250g,67.416331
4800088270250,VIRGINIA Chicken Hotdog 250g,19.33271
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.929625
,,
May 2024,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.954169
4800088210867,VIRGINIA Sweet Ham 250g,67.532401
4800088270250,VIRGINIA Chicken Hotdog 250g,19.389152
4800088270403,VIRGINIA Chorizo de Cebu 250g,44.987388
,,
June 2024,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,32.997661
4800088210867,VIRGINIA Sweet Ham 250g,67.63033
4800088270250,VIRGINIA Chicken Hotdog 250g,19.441645
4800088270403,VIRGINIA Chorizo de Cebu 250g,45.076296
,,
July 2024,,
4800088270588,VIRGINIA Cocktail Hotdog 250g,33.050244
4800088210867,VIRGINIA Sweet Ham 250g,67.810154
